Año,Mes,Costo_USD_MWh
1,1,120.0
1,2,120.0
1,3,120.0
1,4,120.0
1,5,120.0
1,6,120.0
1,7,120.0
1,8,120.0
1,9,120.0
1,10,120.0
1,11,120.0
1,12,120.0
2,1,120.0
2,2,120.0
2,3,120.0
2,4,120.0
2,5,120.0
2,6,120.0
2,7,120.0
2,8,120.0
2,9,120.0
2,10,120.0
2,11,120.0
2,12,120.0
3,1,120.0
3,2,120.0
3,3,120.0
3,4,120.0
3,5,120.0
3,6,120.0
3,7,120.0
3,8,120.0
3,9,120.0
3,10,120.0
3,11,120.0
3,12,120.0
4,1,120.0
4,2,120.0
4,3,120.0
4,4,120.0
4,5,120.0
4,6,120.0
4,7,120.0
4,8,120.0
4,9,120.0
4,10,120.0
4,11,120.0
4,12,120.0
5,1,120.0
5,2,120.0
5,3,120.0
5,4,120.0
5,5,120.0
5,6,120.0
5,7,120.0
5,8,120.0
5,9,120.0
5,10,120.0
5,11,120.0
5,12,120.0
6,1,120.0
6,2,120.0
6,3,120.0
6,4,120.0
6,5,120.0
6,6,120.0
6,7,120.0
6,8,120.0
6,9,120.0
6,10,120.0
6,11,120.0
6,12,120.0
7,1,120.0
7,2,120.0
7,3,120.0
7,4,120.0
7,5,120.0
7,6,120.0
7,7,120.0
7,8,120.0
7,9,120.0
7,10,120.0
7,11,120.0
7,12,120.0
8,1,120.0
8,2,120.0
8,3,120.0
8,4,120.0
8,5,120.0
8,6,120.0
8,7,120.0
8,8,120.0
8,9,120.0
8,10,120.0
8,11,120.0
8,12,120.0
9,1,120.0
9,2,120.0
9,3,120.0
9,4,120.0
9,5,120.0
9,6,120.0
9,7,120.0
9,8,120.0
9,9,120.0
9,10,120.0
9,11,120.0
9,12,120.0
10,1,120.0
10,2,120.0
10,3,120.0
10,4,120.0
10,5,120.0
10,6,120.0
10,7,120.0
10,8,120.0
10,9,120.0
10,10,120.0
10,11,120.0
10,12,120.0
