Año,Mes,GEN_MAX
1,1,74400.0
1,2,67200.0
1,3,74400.0
1,4,72000.0
1,5,74400.0
1,6,72000.0
1,7,74400.0
1,8,74400.0
1,9,72000.0
1,10,74400.0
1,11,72000.0
1,12,74400.0
2,1,74400.0
2,2,67200.0
2,3,74400.0
2,4,72000.0
2,5,74400.0
2,6,72000.0
2,7,74400.0
2,8,74400.0
2,9,72000.0
2,10,74400.0
2,11,72000.0
2,12,74400.0
3,1,74400.0
3,2,67200.0
3,3,74400.0
3,4,72000.0
3,5,74400.0
3,6,72000.0
3,7,74400.0
3,8,74400.0
3,9,72000.0
3,10,74400.0
3,11,72000.0
3,12,74400.0
4,1,74400.0
4,2,67200.0
4,3,74400.0
4,4,72000.0
4,5,74400.0
4,6,72000.0
4,7,74400.0
4,8,74400.0
4,9,72000.0
4,10,74400.0
4,11,72000.0
4,12,74400.0
5,1,74400.0
5,2,67200.0
5,3,74400.0
5,4,72000.0
5,5,74400.0
5,6,72000.0
5,7,74400.0
5,8,74400.0
5,9,72000.0
5,10,74400.0
5,11,72000.0
5,12,74400.0
6,1,74400.0
6,2,67200.0
6,3,74400.0
6,4,72000.0
6,5,74400.0
6,6,72000.0
6,7,74400.0
6,8,74400.0
6,9,72000.0
6,10,74400.0
6,11,72000.0
6,12,74400.0
7,1,74400.0
7,2,67200.0
7,3,74400.0
7,4,72000.0
7,5,74400.0
7,6,72000.0
7,7,74400.0
7,8,74400.0
7,9,72000.0
7,10,74400.0
7,11,72000.0
7,12,74400.0
8,1,74400.0
8,2,67200.0
8,3,74400.0
8,4,72000.0
8,5,74400.0
8,6,72000.0
8,7,74400.0
8,8,74400.0
8,9,72000.0
8,10,74400.0
8,11,72000.0
8,12,74400.0
9,1,74400.0
9,2,67200.0
9,3,74400.0
9,4,72000.0
9,5,74400.0
9,6,72000.0
9,7,74400.0
9,8,74400.0
9,9,72000.0
9,10,74400.0
9,11,72000.0
9,12,74400.0
10,1,74400.0
10,2,67200.0
10,3,74400.0
10,4,72000.0
10,5,74400.0
10,6,72000.0
10,7,74400.0
10,8,74400.0
10,9,72000.0
10,10,74400.0
10,11,72000.0
10,12,74400.0
