Año,Mes,Caudal_MWh
1,1,5229.3
1,2,3495.0
1,3,2585.6
1,4,1783.8
1,5,1758.8
1,6,2951.7
1,7,4072.5
1,8,3833.5
1,9,4445.9
1,10,5759.2
1,11,7341.3
1,12,7044.9
2,1,5229.3
2,2,3495.0
2,3,2585.6
2,4,1783.8
2,5,1758.8
2,6,2951.7
2,7,4072.5
2,8,3833.5
2,9,4445.9
2,10,5759.2
2,11,7341.3
2,12,7044.9
3,1,5229.3
3,2,3495.0
3,3,2585.6
3,4,1783.8
3,5,1758.8
3,6,2951.7
3,7,4072.5
3,8,3833.5
3,9,4445.9
3,10,5759.2
3,11,7341.3
3,12,7044.9
4,1,5229.3
4,2,3495.0
4,3,2585.6
4,4,1783.8
4,5,1758.8
4,6,2951.7
4,7,4072.5
4,8,3833.5
4,9,4445.9
4,10,5759.2
4,11,7341.3
4,12,7044.9
5,1,5229.3
5,2,3495.0
5,3,2585.6
5,4,1783.8
5,5,1758.8
5,6,2951.7
5,7,4072.5
5,8,3833.5
5,9,4445.9
5,10,5759.2
5,11,7341.3
5,12,7044.9
6,1,5229.3
6,2,3495.0
6,3,2585.6
6,4,1783.8
6,5,1758.8
6,6,2951.7
6,7,4072.5
6,8,3833.5
6,9,4445.9
6,10,5759.2
6,11,7341.3
6,12,7044.9
7,1,5229.3
7,2,3495.0
7,3,2585.6
7,4,1783.8
7,5,1758.8
7,6,2951.7
7,7,4072.5
7,8,3833.5
7,9,4445.9
7,10,5759.2
7,11,7341.3
7,12,7044.9
8,1,5229.3
8,2,3495.0
8,3,2585.6
8,4,1783.8
8,5,1758.8
8,6,2951.7
8,7,4072.5
8,8,3833.5
8,9,4445.9
8,10,5759.2
8,11,7341.3
8,12,7044.9
9,1,5229.3
9,2,3495.0
9,3,2585.6
9,4,1783.8
9,5,1758.8
9,6,2951.7
9,7,4072.5
9,8,3833.5
9,9,4445.9
9,10,5759.2
9,11,7341.3
9,12,7044.9
10,1,5229.3
10,2,3495.0
10,3,2585.6
10,4,1783.8
10,5,1758.8
10,6,2951.7
10,7,4072.5
10,8,3833.5
10,9,4445.9
10,10,5759.2
10,11,7341.3
10,12,7044.9
