Año,Mes,Caudal_MWh
1,1,9441.7
1,2,6262.7
1,3,3817.0
1,4,4010.8
1,5,6432.0
1,6,10321.1
1,7,11204.2
1,8,8522.0
1,9,8717.6
1,10,8524.5
1,11,10552.1
1,12,13392.0
2,1,9441.7
2,2,6262.7
2,3,3817.0
2,4,4010.8
2,5,6432.0
2,6,10321.1
2,7,11204.2
2,8,8522.0
2,9,8717.6
2,10,8524.5
2,11,10552.1
2,12,13392.0
3,1,9441.7
3,2,6262.7
3,3,3817.0
3,4,4010.8
3,5,6432.0
3,6,10321.1
3,7,11204.2
3,8,8522.0
3,9,8717.6
3,10,8524.5
3,11,10552.1
3,12,13392.0
4,1,9441.7
4,2,6262.7
4,3,3817.0
4,4,4010.8
4,5,6432.0
4,6,10321.1
4,7,11204.2
4,8,8522.0
4,9,8717.6
4,10,8524.5
4,11,10552.1
4,12,13392.0
5,1,9441.7
5,2,6262.7
5,3,3817.0
5,4,4010.8
5,5,6432.0
5,6,10321.1
5,7,11204.2
5,8,8522.0
5,9,8717.6
5,10,8524.5
5,11,10552.1
5,12,13392.0
6,1,9441.7
6,2,6262.7
6,3,3817.0
6,4,4010.8
6,5,6432.0
6,6,10321.1
6,7,11204.2
6,8,8522.0
6,9,8717.6
6,10,8524.5
6,11,10552.1
6,12,13392.0
7,1,9441.7
7,2,6262.7
7,3,3817.0
7,4,4010.8
7,5,6432.0
7,6,10321.1
7,7,11204.2
7,8,8522.0
7,9,8717.6
7,10,8524.5
7,11,10552.1
7,12,13392.0
8,1,9441.7
8,2,6262.7
8,3,3817.0
8,4,4010.8
8,5,6432.0
8,6,10321.1
8,7,11204.2
8,8,8522.0
8,9,8717.6
8,10,8524.5
8,11,10552.1
8,12,13392.0
9,1,9441.7
9,2,6262.7
9,3,3817.0
9,4,4010.8
9,5,6432.0
9,6,10321.1
9,7,11204.2
9,8,8522.0
9,9,8717.6
9,10,8524.5
9,11,10552.1
9,12,13392.0
10,1,9441.7
10,2,6262.7
10,3,3817.0
10,4,4010.8
10,5,6432.0
10,6,10321.1
10,7,11204.2
10,8,8522.0
10,9,8717.6
10,10,8524.5
10,11,10552.1
10,12,13392.0
