Año,Mes,GEN_MAX
1,1,14880.0
1,2,13440.0
1,3,14880.0
1,4,14400.0
1,5,14880.0
1,6,14400.0
1,7,14880.0
1,8,14880.0
1,9,14400.0
1,10,14880.0
1,11,14400.0
1,12,14880.0
2,1,14880.0
2,2,13440.0
2,3,14880.0
2,4,14400.0
2,5,14880.0
2,6,14400.0
2,7,14880.0
2,8,14880.0
2,9,14400.0
2,10,14880.0
2,11,14400.0
2,12,14880.0
3,1,14880.0
3,2,13440.0
3,3,14880.0
3,4,14400.0
3,5,14880.0
3,6,14400.0
3,7,14880.0
3,8,14880.0
3,9,14400.0
3,10,14880.0
3,11,14400.0
3,12,14880.0
4,1,14880.0
4,2,13440.0
4,3,14880.0
4,4,14400.0
4,5,14880.0
4,6,14400.0
4,7,14880.0
4,8,14880.0
4,9,14400.0
4,10,14880.0
4,11,14400.0
4,12,14880.0
5,1,14880.0
5,2,13440.0
5,3,14880.0
5,4,14400.0
5,5,14880.0
5,6,14400.0
5,7,14880.0
5,8,14880.0
5,9,14400.0
5,10,14880.0
5,11,14400.0
5,12,14880.0
6,1,14880.0
6,2,13440.0
6,3,14880.0
6,4,14400.0
6,5,14880.0
6,6,14400.0
6,7,14880.0
6,8,14880.0
6,9,14400.0
6,10,14880.0
6,11,14400.0
6,12,14880.0
7,1,14880.0
7,2,13440.0
7,3,14880.0
7,4,14400.0
7,5,14880.0
7,6,14400.0
7,7,14880.0
7,8,14880.0
7,9,14400.0
7,10,14880.0
7,11,14400.0
7,12,14880.0
8,1,14880.0
8,2,13440.0
8,3,14880.0
8,4,14400.0
8,5,14880.0
8,6,14400.0
8,7,14880.0
8,8,14880.0
8,9,14400.0
8,10,14880.0
8,11,14400.0
8,12,14880.0
9,1,14880.0
9,2,13440.0
9,3,14880.0
9,4,14400.0
9,5,14880.0
9,6,14400.0
9,7,14880.0
9,8,14880.0
9,9,14400.0
9,10,14880.0
9,11,14400.0
9,12,14880.0
10,1,14880.0
10,2,13440.0
10,3,14880.0
10,4,14400.0
10,5,14880.0
10,6,14400.0
10,7,14880.0
10,8,14880.0
10,9,14400.0
10,10,14880.0
10,11,14400.0
10,12,14880.0
