Año,Mes,Costo_USD_MWh
1,1,30.0000
1,2,30.1950
1,3,30.3913
1,4,30.5888
1,5,30.7876
1,6,30.9878
1,7,31.1892
1,8,31.3919
1,9,31.5960
1,10,31.8013
1,11,32.0080
1,12,32.2161
2,1,32.4255
2,2,32.6363
2,3,32.8484
2,4,33.0619
2,5,33.2768
2,6,33.4931
2,7,33.7108
2,8,33.9299
2,9,34.1505
2,10,34.3725
2,11,34.5959
2,12,34.8208
3,1,35.0471
3,2,35.2749
3,3,35.5042
3,4,35.7350
3,5,35.9672
3,6,36.2010
3,7,36.4363
3,8,36.6732
3,9,36.9115
3,10,37.1515
3,11,37.3930
3,12,37.6360
4,1,37.8806
4,2,38.1269
4,3,38.3747
4,4,38.6241
4,5,38.8752
4,6,39.1279
4,7,39.3822
4,8,39.6382
4,9,39.8958
4,10,40.1552
4,11,40.4162
4,12,40.6789
5,1,40.9433
5,2,41.2094
5,3,41.4773
5,4,41.7469
5,5,42.0182
5,6,42.2914
5,7,42.5662
5,8,42.8429
5,9,43.1214
5,10,43.4017
5,11,43.6838
5,12,43.9677
6,1,44.2535
6,2,44.5412
6,3,44.8307
6,4,45.1221
6,5,45.4154
6,6,45.7106
6,7,46.0077
6,8,46.3068
6,9,46.6078
6,10,46.9107
6,11,47.2156
6,12,47.5225
7,1,47.8314
7,2,48.1423
7,3,48.4553
7,4,48.7702
7,5,49.0872
7,6,49.4063
7,7,49.7274
7,8,50.0507
7,9,50.3760
7,10,50.7034
7,11,51.0330
7,12,51.3647
8,1,51.6986
8,2,52.0346
8,3,52.3729
8,4,52.7133
8,5,53.0559
8,6,53.4008
8,7,53.7479
8,8,54.0972
8,9,54.4489
8,10,54.8028
8,11,55.1590
8,12,55.5175
9,1,55.8784
9,2,56.2416
9,3,56.6072
9,4,56.9751
9,5,57.3455
9,6,57.7182
9,7,58.0934
9,8,58.4710
9,9,58.8511
9,10,59.2336
9,11,59.6186
9,12,60.0061
10,1,60.3962
10,2,60.7887
10,3,61.1839
10,4,61.5816
10,5,61.9818
10,6,62.3847
10,7,62.7902
10,8,63.1984
10,9,63.6092
10,10,64.0226
10,11,64.4388
10,12,64.8576
