generador;hora;vertimiento_mw
SOLAR-NORTE-01;8;117.16129032258064
SOLAR-NORTE-01;9;778.1935483870968
SOLAR-NORTE-01;10;1177.516129032258
SOLAR-NORTE-01;11;1298.2903225806451
SOLAR-NORTE-01;12;1384.0
SOLAR-NORTE-01;13;1437.1290322580646
SOLAR-NORTE-01;14;1435.774193548387
SOLAR-NORTE-01;15;1411.1612903225807
SOLAR-NORTE-01;16;1430.3870967741937
SOLAR-NORTE-01;17;1409.0967741935483
SOLAR-NORTE-01;18;1372.3225806451612
SOLAR-NORTE-01;19;1216.0
SOLAR-NORTE-01;20;673.9354838709678
SOLAR-NORTE-01;21;13.612903225806456
SOLAR-NORTE-01;32;117.16129032258064
SOLAR-NORTE-01;33;778.1935483870968
SOLAR-NORTE-01;34;1177.516129032258
SOLAR-NORTE-01;35;1298.2903225806451
SOLAR-NORTE-01;36;1384.0
SOLAR-NORTE-01;37;1437.1290322580646
SOLAR-NORTE-01;38;1435.774193548387
SOLAR-NORTE-01;39;1411.1612903225807
SOLAR-NORTE-01;40;1430.3870967741937
SOLAR-NORTE-01;41;1409.0967741935483
SOLAR-NORTE-01;42;1372.3225806451612
SOLAR-NORTE-01;43;1216.0
SOLAR-NORTE-01;44;673.9354838709678
SOLAR-NORTE-01;56;117.16129032258064
SOLAR-NORTE-01;57;778.1935483870968
SOLAR-NORTE-01;58;1177.516129032258
SOLAR-NORTE-01;59;1298.2903225806451
SOLAR-NORTE-01;60;1384.0
SOLAR-NORTE-01;61;1437.1290322580646
SOLAR-NORTE-01;62;1435.774193548387
SOLAR-NORTE-01;63;1411.1612903225807
SOLAR-NORTE-01;64;1430.3870967741937
SOLAR-NORTE-01;65;1409.0967741935483
SOLAR-NORTE-01;66;1372.3225806451612
SOLAR-NORTE-01;67;1216.0
SOLAR-NORTE-01;68;673.9354838709678
SOLAR-NORTE-01;69;13.612903225806456
SOLAR-NORTE-01;80;117.16129032258064
SOLAR-NORTE-01;81;778.1935483870968
SOLAR-NORTE-01;82;1177.516129032258
SOLAR-NORTE-01;83;1298.2903225806451
SOLAR-NORTE-01;84;1384.0
SOLAR-NORTE-01;85;1437.1290322580646
SOLAR-NORTE-01;86;1435.774193548387
SOLAR-NORTE-01;87;1411.1612903225807
SOLAR-NORTE-01;88;1430.3870967741937
SOLAR-NORTE-01;89;1409.0967741935483
SOLAR-NORTE-01;90;1372.3225806451612
SOLAR-NORTE-01;91;1216.0
SOLAR-NORTE-01;92;673.9354838709678
SOLAR-NORTE-01;104;117.16129032258064
SOLAR-NORTE-01;105;778.1935483870968
SOLAR-NORTE-01;106;1177.516129032258
SOLAR-NORTE-01;107;1298.2903225806451
SOLAR-NORTE-01;108;1384.0
SOLAR-NORTE-01;109;1437.1290322580646
SOLAR-NORTE-01;110;1435.774193548387
SOLAR-NORTE-01;111;1411.1612903225807
SOLAR-NORTE-01;112;1430.3870967741937
SOLAR-NORTE-01;113;1409.0967741935483
SOLAR-NORTE-01;114;1372.3225806451612
SOLAR-NORTE-01;115;1216.0
SOLAR-NORTE-01;116;673.9354838709678
SOLAR-NORTE-01;128;117.16129032258064
SOLAR-NORTE-01;129;778.1935483870968
SOLAR-NORTE-01;130;1177.516129032258
SOLAR-NORTE-01;131;1298.2903225806451
SOLAR-NORTE-01;132;1384.0
SOLAR-NORTE-01;133;1437.1290322580646
SOLAR-NORTE-01;134;1435.774193548387
SOLAR-NORTE-01;135;1411.1612903225807
SOLAR-NORTE-01;136;1430.3870967741937
SOLAR-NORTE-01;137;1409.0967741935483
SOLAR-NORTE-01;138;1372.3225806451612
SOLAR-NORTE-01;139;1216.0
SOLAR-NORTE-01;140;673.9354838709678
SOLAR-NORTE-01;141;13.612903225806456
SOLAR-NORTE-01;152;117.16129032258064
SOLAR-NORTE-01;153;778.1935483870968
SOLAR-NORTE-01;154;1177.516129032258
SOLAR-NORTE-01;155;1298.2903225806451
SOLAR-NORTE-01;156;1384.0
SOLAR-NORTE-01;157;1437.1290322580646
SOLAR-NORTE-01;158;1435.774193548387
SOLAR-NORTE-01;159;1411.1612903225807
SOLAR-NORTE-01;160;1430.3870967741937
SOLAR-NORTE-01;161;1409.0967741935483
SOLAR-NORTE-01;162;1372.3225806451612
SOLAR-NORTE-01;163;1216.0
SOLAR-NORTE-01;164;673.9354838709678
SOLAR-NORTE-01;165;13.612903225806456
SOLAR-NORTE-01;176;117.16129032258064
SOLAR-NORTE-01;177;778.1935483870968
SOLAR-NORTE-01;178;1177.516129032258
SOLAR-NORTE-01;179;1298.2903225806451
SOLAR-NORTE-01;180;1384.0
SOLAR-NORTE-01;181;1437.1290322580646
SOLAR-NORTE-01;182;1435.774193548387
SOLAR-NORTE-01;183;1411.1612903225807
SOLAR-NORTE-01;184;1430.3870967741937
SOLAR-NORTE-01;185;1409.0967741935483
SOLAR-NORTE-01;186;1372.3225806451612
SOLAR-NORTE-01;187;1216.0
SOLAR-NORTE-01;188;673.9354838709678
SOLAR-NORTE-01;189;13.612903225806456
SOLAR-NORTE-01;200;117.16129032258064
SOLAR-NORTE-01;201;778.1935483870968
SOLAR-NORTE-01;202;1177.516129032258
SOLAR-NORTE-01;203;1298.2903225806451
SOLAR-NORTE-01;204;1384.0
SOLAR-NORTE-01;205;1437.1290322580646
SOLAR-NORTE-01;206;1435.774193548387
SOLAR-NORTE-01;207;1411.1612903225807
SOLAR-NORTE-01;208;1430.3870967741937
SOLAR-NORTE-01;209;1409.0967741935483
SOLAR-NORTE-01;210;1372.3225806451612
SOLAR-NORTE-01;211;1216.0
SOLAR-NORTE-01;212;673.9354838709678
SOLAR-NORTE-01;224;117.16129032258064
SOLAR-NORTE-01;225;778.1935483870968
SOLAR-NORTE-01;226;1177.516129032258
SOLAR-NORTE-01;227;1298.2903225806451
SOLAR-NORTE-01;228;1384.0
SOLAR-NORTE-01;229;1437.1290322580646
SOLAR-NORTE-01;230;1435.774193548387
SOLAR-NORTE-01;231;1411.1612903225807
SOLAR-NORTE-01;232;1430.3870967741937
SOLAR-NORTE-01;233;1409.0967741935483
SOLAR-NORTE-01;234;1372.3225806451612
SOLAR-NORTE-01;235;1216.0
SOLAR-NORTE-01;236;673.9354838709678
SOLAR-NORTE-01;237;13.612903225806456
SOLAR-NORTE-01;248;117.16129032258064
SOLAR-NORTE-01;249;778.1935483870968
SOLAR-NORTE-01;250;1177.516129032258
SOLAR-NORTE-01;251;1298.2903225806451
SOLAR-NORTE-01;252;1384.0
SOLAR-NORTE-01;253;1437.1290322580646
SOLAR-NORTE-01;254;1435.774193548387
SOLAR-NORTE-01;255;1411.1612903225807
SOLAR-NORTE-01;256;1430.3870967741937
SOLAR-NORTE-01;257;1409.0967741935483
SOLAR-NORTE-01;258;1372.3225806451612
SOLAR-NORTE-01;259;1216.0
SOLAR-NORTE-01;260;673.9354838709678
SOLAR-NORTE-01;272;117.16129032258064
SOLAR-NORTE-01;273;778.1935483870968
SOLAR-NORTE-01;274;1177.516129032258
SOLAR-NORTE-01;275;1298.2903225806451
SOLAR-NORTE-01;276;1384.0
SOLAR-NORTE-01;277;1437.1290322580646
SOLAR-NORTE-01;278;1435.774193548387
SOLAR-NORTE-01;279;1411.1612903225807
SOLAR-NORTE-01;280;1430.3870967741937
